#   29.190   91.759 1 2 0
  29.190   91.759    3.088
  30.023   92.965    3.106
#   30.999   92.540 1 2 0
  28.898   91.943    3.098
  29.190   91.759    3.094
  29.247   94.258    3.166
  29.707   92.149    3.124
  29.720   98.427    3.094
  29.758   96.102    3.104
  29.773   95.700    3.030
  29.808   93.907    3.060
  29.909   95.472    3.008
  30.009   96.691    3.118
  30.120   97.303    3.124
  30.691   97.261    3.100
  30.813   95.711    3.028
  31.193   96.498    3.146
  31.586   94.706    3.020
  31.838   93.792    2.942
  31.907   94.136    2.966
#   31.183   97.018 1 2 0
  29.247   94.258    3.068
  29.488   94.579    2.982
  29.773   95.700    3.028
  29.897   93.515    3.068
