  31.679   92.402    3.240
  31.909   93.058    3.176
#   30.813   95.711 1 1 0
  29.072   93.386    3.436
  29.117   93.782    3.384
  29.247   94.258    3.386
  29.641   97.896    3.246
  29.720   98.427    3.236
  29.958   97.511    3.254
  30.120   97.303    3.202
  30.502   97.137    3.168
  30.691   97.261    3.126
#   30.910   96.338 1 1 0
  29.117   93.782    3.406
  29.897   93.515    3.350
  29.909   95.472    3.370
#   30.999   92.540 1 1 0
  29.318   97.186    3.382
  29.720   98.427    3.348
  29.909   95.472    3.328
  30.730   96.103    3.342
  30.813   95.711    3.322
  31.284   93.836    3.232
  31.537   95.282    3.324
  31.586   94.706    3.296
  31.838   93.792    3.180
  31.907   94.136    3.168
  31.909   93.058    3.130
#   31.183   97.018 1 1 0
  29.117   93.782    3.360
  29.488   94.579    3.326
  29.773   95.700    3.320
  29.808   93.907    3.366
  29.909   95.472    3.380
  30.023   92.965    3.326
  31.301   97.962    3.040
#   31.193   96.498 1 1 0
  28.898   91.943    3.398
  29.117   93.782    3.384
  29.190   91.759    3.392
  29.247   94.258    3.366
  29.641   97.896    3.232
  29.773   95.700    3.364
  29.808   93.907    3.346
  29.875   92.621    3.392
  29.897   93.515    3.378
  29.909   95.472    3.378
  29.958   97.511    3.236
  29.961   94.780    3.346
  30.023   92.965    3.374
  31.183   97.018    3.161
  31.271   97.548    3.066
#   31.254   95.901 1 1 0
  29.072   93.386    3.448
  29.247   94.258    3.410
  30.009   96.691    3.308
  30.691   97.261    3.272
  31.183   97.018    3.190
  31.193   96.498    3.155
  31.271   97.548    3.124
  31.301   97.962    3.078
#   31.258   92.090 1 1 0
  29.318   97.186    3.396
  29.773   95.700    3.356
  29.875   92.621    3.350
  29.909   95.472    3.292
  29.961   94.780    3.366
  30.023   92.965    3.366
  30.646   93.250    3.288
  30.691   97.261    3.300
  30.730   96.103    3.274
  30.910   96.338    3.314
  31.284   93.836    3.152
  31.301   97.962    3.202
  31.838   93.792    3.176
  31.909   93.058    3.160
#   31.271   97.548 1 1 0
  29.117   93.782    3.328
  29.909   95.472    3.300
  30.009   96.691    3.202
  30.691   97.261    3.130
#   31.284   93.836 1 1 0
  29.720   98.427    3.360
  30.120   97.303    3.380
  30.730   96.103    3.216
  30.813   95.711    3.272
  31.909   93.058    3.276
#   31.301   97.962 1 1 0
  29.041   92.226    3.342
  29.247   94.258    3.330
  29.318   97.186    3.244
  29.488   94.579    3.294
  29.641   97.896    3.156
  29.758   96.102    3.292
  29.773   95.700    3.318
  29.808   93.907    3.348
  29.909   95.472    3.296
  29.958   97.511    3.224
  30.009   96.691    3.188
  30.120   97.303    3.218
  30.691   97.261    3.122
  30.813   95.711    3.198
#   31.481   93.700 1 1 0
  29.909   95.472    3.402
  30.691   97.261    3.220
  30.730   96.103    3.176
  30.813   95.711    3.236
  31.909   93.058    3.228
#   31.537   95.282 1 1 0
  29.247   94.258    3.394
  29.506   96.756    3.388
  29.720   98.427    3.308
  29.758   96.102    3.416
